"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***,G***,G***,G***,G***";"star_1";6;"LOGO";;;
2;"U1";"ESP-12E_SMD";1;"ESP8266";;;
3;"R1";"R_0805_HandSoldering";1;"25k";;;
4;"R2,R3";"R_0805_HandSoldering";2;"10k";;;
5;"BT1";"JST_PH_B2B-PH-K_02x2.00mm_Straight";1;"Battery_Cell";;;
6;"BTN1,BTN2,BTN3";"Pushbutton";3;"Pushbutton";;;
7;"J1,J2,J3";"Alligator Pad";3;"CONN_01X01";;;
8;"FTDI";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"CONN_01X08";;;
9;"G***";"fsoss";1;"LOGO";;;
10;"G***";"peapod";1;"LOGO";;;
11;"REF**";"MountingHole_2.2mm_M2";1;"MountingHole_2.2mm_M2";;;
